A2;de;en
Europa;Europe
der Schrank;the closet, cupboard, cabinet
berühmt;famous, eminent, renowned
die Leitung;the management, line
irren;to err
meistens;mostly, usually
der Start;the start
die Ursache;the cause, reason
äußerst;extremely
die Figur;the figure, physique
der Rauch;the smoke
der Sand;the sand
anstatt;instead of
die Stellung;the job position
fürchten;to fear
geraten;to turn out, to end up
deutlich;distinct, obvious, plain, marked, distinctly
brav;well
aufwachen;to wake up
die Theorie;the theory
möglicherweise;possibly
der Arbeiter;the worker
zurückkehren;to turn back
rosa;pink
der Lärm;the noise, fuss
das Mittagessen;the lunch, the noon meal
der Sitz;the seat
neugierig;curious
verletzen;to injure, wound, hurt
die Gesundheit;the health
akzeptieren;to accept
negativ;negative
die Eile;the hurry, the rush
beantworten;to answer
die Sicht;sight, visibility, view
daneben;beside it
die Unterstützung;the support
die Ratte;the rat
gegenseitig;mutual
das Gedächtnis;the memory
der Auftritt;the appearance, performance
der Donnerstag;the Thursday
der Anteil;the amount, stake, share, proportion
die Unterhaltung;the entertainment, conversation
zulassen;to admit, approve, let, allow, permit
bestehen;to insist, to pass an exam, to persist, to consist of
das Gepäck;the luggage
sicherlich;certainly
der Bahnhof;the train station
das Kreuz;the cross, crucifix, clubs
umdrehen;to turn around, reverse, overturn, flip over
gründen;to found
der Text;the text
taub;deaf
berichten;to report
beseitigen;to eradicate, remove, eliminate, resolve
der Hubschrauber;the helicopter
die Realität;the reality
innen;inside
die Verabredung;the appointment, the date
clever;clever
die Stimmung;the mood, atmosphere, sentiment
die Tasse;the cup
der Zweck;the purpose, aim, objective, intention
eng;narrow, tight
das Urteil;the judgment
zwingen;to force
der Manager;the manager
per;by, via, per
die Stärke;the strength
geil;awesome, wicked, cool, horny
die Schulter;the shoulder
der Krebs;the cancer
bequem;convenient, comfortable, handy
ausziehen;to get undressed
die Einladung;the invitation
das Gerät;the device, appliance
schenken;to give a gift
die Information;the information
die Wut;the anger, the rage
die Farm;the farm
bestellen;to order
das Jahrhundert;the century
der Virus;the virus
der Humor;the humor
das Geräusch;the noise
kompliziert;complicated
das Japan;The Japan
wiederholen;to repeat
die Suppe;the soup
konzentrieren;to concentrate
mittel;medium, middle, median
die Schokolade;the chocolate
die Miete;the rent
die Pizza;the pizza
entfernen;to remove, unplug, eliminate, dislodge
der Gegner;the opponent
behaupten;to claim, allege, suggest
die Basis;the basis
der Stahl;the steel
das Viertel;the quarter
real;real
erscheinen;to appear
sparen;to save
die Einstellung;the attitude, adjustment, setting
hässlich;ugly
der Verdacht;the suspicion
elf;eleven
die Krone;the crown
albern;silly
die Kindheit;the childhood
der Hügel;the hill
unglücklich;unhappy
weitergehen;to continue
der Fan;the fan
das Museum;the museum
prüfen;to test
die Nation;the nation
anschauen;to look at, to view
das Einkaufen;the shopping
weich;soft
einkaufen;to purchase, buy
der Ausweis;the identity card
betreten;to enter, walk into, go into
der Käse;the cheese
rauskommen;to come out
offiziell;official
Spanisch;Spanish
spanisch;Spanish
der Kreis;the circle
überfallen;to attack, to invade
die Mauer;the wall
sich verabschieden;to say goodbye
die Puppe;the doll
die Universität;the university
der September;the September
das Schild;1. the shield. 2. the sign.
lecker;delicious
steuern;to govern, steer, control, operate, navigate
das Klavier;the piano
die Belohnung;the reward
der Weihnachtsmann;the Santa Claus
warnen;to warn
die Küste;the coast
eindeutig;clear, obvious, distinct, unambiguous
aussteigen;to disembark, exit, stop taking part in sth
die Warnung;the warning
anbieten;to offer
der Patient;the patient
wenden;to turn
die Dusche;the shower
gewohnt;accustomed, habitual, familiar
nass;wet
senden;to send, broadcast, transmit, emit
bestätigen;to confirm
der Zugang;the access
der Schreibtisch;the desk
die Hitze;the heat
der Kühlschrank;the refrigerator
der Hammer;the hammer
das Fieber;the fever
der Koch;the male cook
das Material;the material
der Juli;the July
die Behandlung;the treatment, dealing, handling
der April;the April
ergeben;devoted, loyal
die Neigung;the tendency, tilt, inclination
ungemein;immensely, tremendously, profoundly
der Unterricht;the lesson
der Verlust;the loss
der Regisseur;the film director
der Stress;the stress
färben;to color
das Konto;the account
zugeben;to admit, concede, confesss agree
das Modell;the model
der Charakter;the character, temper, nature
jener;that, those, and sometimes yonder
die Religion;the religion
die Witwe;the widow
der Stiefel;the boot
der Sport;the sports, athletics
hinsetzen;to sit down
der Apparat;the apparatus, the appliance
weggehen;to go away
rund;round
die Versicherung;the insurance
unterstützen;to support
die Ankunft;the arrival
bewaffnen;to arm
der Schock;the shock
der Hafen;the harbour
das Konzert;the concert
besitzen;to own
die Störung;the disturbance
das Gewicht;the weight
der Widerstand;the resistance, resistor opposition
Russland;Russia
der August;the August
das Paradies;the paradise
der Turm;the tower
leiten;to manage, head, lead, oversee, run, conduct
der Trainer;the coach
pünktlich;punctual, on time
rücksichtsvoll;considerate, thoughtful
der Pfarrer;the pastor
die Quelle;the source
wecken;to awaken someone
der Esel;the donkey
telefonieren;to make a phone call
brennen;to burn
die Kopfschmerzen;the headache
Spanien;Spain
abnehmen;to decrease, drop, to decline, to lose weight
verwenden;to use, employ, apply
sammeln;to collect
der Roman;the novel
die Technik;the technology
üben;to practice
ersparen;to spare, save
die Befürchtung;the fear, apprehension, worry
die Entfernung;the distance
grausam;gruesome, cruel
die Werbung;the advertising, advertisement
der Empfang;the reception
die Führung;the conduct, leadership, guided tour, governance
schieben;to push
der Kunde;the male customer
die Wäsche;the laundry
der Führerschein;the driving license
blasen;to blow
das Rad;the wheel, the bike
die Truppe;1. the combat squad 2. the troupe or company
studieren;to study
einzig;single, only
schmutzig;dirty
der Einfluss;the influence
der Verdienst;the pay, the wages
der Satz;the sentence, set
das Dutzend;the dozen
liefern;to deliver
der Zorn;the anger, the rage
extrem;extreme
der Antrag;the application, proposal, request
der Bau;the construction
freiwillig;voluntary
einladen;to invite
die Bibel;the bible
die Phase;the phase
hell;bright
der Wille;the will, willingness
bereuen;to regret, be sorry
das Netz;the net
das Zentrum;the centre
das Huhn;the hen
das Ergebnis;the result
die Blume;the flower
die Uni;the university
die Atmosphäre;the atmosphere
