B1;de;en
umarmen;to embrace
die Chemie;the chemistry
männlich;male, masculine, virile
die Abkürzung;the abbreviation
die Bestimmung;the provision, purpose, determination
ausprobieren;to try out, test
der Effekt;the effect, the impact
der Wechsel;the change
die Schrift;the font, writing, script
die Zinsen;the interest
die Soße;the sauce
die Pension;the pension
der Beamte n n;the male civil servant
der Kasten;the case, the box
das Geschlecht;the gender
versichern;to assure, insure
der Passagier;the passenger
das Feuerwerk;the fireworks
die Kurve;the curve
der Journalist;the journalist
seither;since then
der Bräutigam;the bridegroom
das Picknick;the picnic
die Klimaanlage;the air conditioning
die Börse;the stock market
schwitzen;to sweat
servieren;to serve
sorgfältig;with care
das Kennzeichen;the distinguishing mark, the label, license plate number
der Russe;the male Russian person
der Fotograf;the photographer
das Lamm;the lamb
gebildet;educated
das Plastik;the plastic
die Umwelt;the environment, surroundings, surrounding area
das Gewitter;the thunderstorm
lauten;to sound, to read
wertlos;worthless
die Handschrift;the handwriting
die Pflanze;the plant, vegetable
der Nachtisch;the dessert
der Luxus;the luxury
zögern;to hesitate
fünfzig;fifty
das Orchester;the orchestra
gekleidet;dressed
das Fach;the field of study, the subject, compartment
fließen;to flow
das Dokument;the document
der Treffpunkt;the meeting place
sentimental;sentimental
das Bedürfnis;the need, requirement
hierfür; for this/it, therefore, therefor
anstrengend;tiring
kauen;to chew
die Kaiserin;the empress
drucken;to print
der Bekannte n n;the male acquaintance
nachmittags;in the afternoon/s
die Apotheke;the pharmacy
die Geige;the violin
die Bildung;the education
München;Munich
der Produzent;the producer
golden;golden
die Erziehung;the upbringing
der BH;the bra
das Obst;the fruit
der Hase;the hare, the rabbit
national;national
anzeigen;to display, advertize, indicate, show
behindert;handicapped, disabled
der Notruf;the emergency phone call
der Feierabend;the end of the work day
automatisch;automatic
die Kritik;the criticism
der Senf;the mustard
anderthalb ;one and a half
wegwerfen;to throw away
erzeugen;to generate, to create, to produce
der Weltraum;the outer space
der Supermarkt;the supermarket
arrogant;arrogant
aktivieren;to activate, enable
zumachen;to close, to shut, to fasten
regnen;to rain
die Pille;the pill
der Nerv;the nerve
das Leder;the leather
übersetzen;to translate
die Zusammenarbeit;the collaboration, cooperation
online;online
die Unterkunft;the accommodation, housing, lodging
die Vorschrift;the provision, regulation, rule
die Reinigung;the purification
scheitern;to fail
der Vorname;the first name, given name
der Mechaniker;the mechanic
einschalten;to engage, to plug in, activate, energize
vorgestern;the day before yesterday
spannend;exciting
fortsetzen;to resume, continue, pursue
das Rathaus;the city hall
genügen;to suffice, to be enough
die Provinz;the province
die Badewanne;the bathtub
die Formel;the formula
das Klima;the climate
die Uhrzeit;the time, time of day
die Literatur;the literature
technisch;technical
der Kaviar;the caviar
die Rückseite;the backside
die Kreuzung;the junction, crossing, crossroads, intersection
stinken;to stink
geistig;mental
der Handschuh;the glove
der Rucksack;the backpack
erraten;to guess
stumm;mute, silent
das Drama;the drama
der Umgang;the handling, dealings, contact
ursprünglich;originally
die Vase;the vase
der Schal ;the scarf
drängen;to urge, push, shove, crowd
der Käufer;the buyer
ideal;ideal
kündigen;to give notice
der Betrag;the amount
der Terrorismus;the terrorism
gleichgültig;indifferent
das Element;the element
die Milliarde;the billion
beschuldigen;to blame
körperlich;physical
die Seide;the silk
der Bildschirm;the monitor, the screen
